['Vagabund', 'Gratweg', '* VI', '3556', 'Vagabund', 'Gratweg', '* VI', '567000000060', 1.224744871391589]
['Vagabund', 'Alter Weg', 'IV', '5966', 'Vagabund', 'Alter Weg', 'IV', '567000000010', 1.224744871391589]
['Vagabund', 'Pennermatte', 'IXa', '7609', 'Vagabund', 'Pennermatte', 'IXa', '567000000040', 1.224744871391589]
['Vagabund', 'Direkter Gratweg', 'VI', '8307', 'Vagabund', 'Direkter Gratweg', 'VI', '567000000080', 1.224744871391589]
['Vagabund', 'Südwestverschneidung', 'VI', '8804', 'Vagabund', 'Südwest-Verschneidung', 'VI', '567000000050', 1.211819260816923]
['Vagabund', 'Nordweg', 'VI', '6791', 'Vagabund', 'Nord-Weg', 'VI', '567000000090', 1.1909671606630376]
['Vagabund', 'DA zum Nordweg', 'VI', '11809', 'Vagabund', 'Variante', 'VI', '567000000100', 0.8835426847283392]
['Hallodri', 'Talweg', '* VIIc', '1077', 'Hallodri', 'Talweg', '* VIIc', '566000000070', 1.224744871391589]
['Hallodri', 'Schartenweg', 'III', '12246', 'Hallodri', 'Schartenweg', 'III', '566000000100', 1.224744871391589]
['Hallodri', 'Bergweg', 'III', '13413', 'Hallodri', 'Bergweg', 'III', '566000000110', 1.224744871391589]
['Hallodri', 'Bereue nichts', 'IXc', '13386', 'Hallodri', 'Bereue nichts', 'IXc', '566000000080', 1.224744871391589]
['Hallodri', 'Gaggelei', 'V', '8308', 'Hallodri', 'Gaggelei', 'V', '566000000040', 1.224744871391589]
['Hallodri', 'Hangelei', '* VIIa', '12394', 'Hallodri', 'Hangelei', 'VIIa', '566000000050', 1.1981467170407618]
['Hallodri', 'Alter Weg', '1', '3557', 'Hallodri', 'Alter Weg', '2', '566000000020', 1.0]
['Hallodri', 'Linkssprung', '1', '5969', 'Hallodri', 'Linkssprung', '2', '566000000030', 1.0]
['Lehnhorn', 'Variante Nr. 3', 'VIIIb', '7792', 'Lehnhorn', 'Variante Nr. 3', 'VIIIb', '565000000350', 1.224744871391589]
['Lehnhorn', 'Perlenkette', '** VIIIa RP VIIIb', '1074', 'Lehnhorn', 'Perlenkette', '** VIIIa RP VIIIb', '565000000300', 1.224744871391589]
['Lehnhorn', 'Bunter Kessel', 'VIIIa', '13110', 'Lehnhorn', 'Bunter Kessel', 'VIIIa', '565000000210', 1.224744871391589]
['Lehnhorn', 'Osterweg', '* VIIa', '614', 'Lehnhorn', 'Osterweg', '* VIIa', '565000000290', 1.224744871391589]
['Lehnhorn', 'Kombination', 'VI', '4601', 'Lehnhorn', 'Kombination', 'VI', '565000000620', 1.224744871391589]
['Lehnhorn', 'Sechs-Ringe-Menü', 'VIIIc', '7913', 'Lehnhorn', 'Sechs-Ringe-Menü', 'VIIIc', '565000000490', 1.224744871391589]
['Lehnhorn', 'Reibung', 'III', '10506', 'Lehnhorn', 'Reibung', 'III', '565000000030', 1.224744871391589]
['Lehnhorn', 'Gewitterstimmung', 'IXa', '8847', 'Lehnhorn', 'Gewitterstimmung', 'IXa', '565000000560', 1.224744871391589]
['Lehnhorn', 'Platzreife', 'IXb', '9365', 'Lehnhorn', 'Platzreife', 'IXb', '565000000180', 1.224744871391589]
['Lehnhorn', 'Delikatesse', 'VIIIa RP VIIIb', '1076', 'Lehnhorn', 'Delikatesse', 'VIIIa RP VIIIb', '565000000500', 1.224744871391589]
['Lehnhorn', 'Zufallssprung', '2', '6414', 'Lehnhorn', 'Zufallssprung', '2', '565000000650', 1.224744871391589]
['Lehnhorn', 'Birkenkamin', 'III', '13250', 'Lehnhorn', 'Birkenkamin', 'III', '565000000430', 1.224744871391589]
['Lehnhorn', 'Talkesselweg', 'VIIa', '3857', 'Lehnhorn', 'Talkesselweg', 'VIIa', '565000000130', 1.224744871391589]
['Lehnhorn', 'Alter Weg', 'I', '10600', 'Lehnhorn', 'Alter Weg', 'I', '565000000010', 1.224744871391589]
['Lehnhorn', 'Schwarzer Winkel', 'IV', '11587', 'Lehnhorn', 'Schwarzer Winkel', 'IV', '565000000120', 1.224744871391589]
['Lehnhorn', 'Überm Schwarzen Loch', 'VIIIa RP VIIIb', '11080', 'Lehnhorn', 'Überm Schwarzen Loch', '* VIIIa RP VIIIb', '565000000270', 1.2143672037143198]
['Lehnhorn', 'Kleinfranken', 'IXb RP IXc', '7393', 'Lehnhorn', 'Klein-Franken', 'IXb RP IXc', '565000000360', 1.2039000834429212]
['Lehnhorn', 'Bon Appetite', 'VIIIb RP VIIIc', '7394', 'Lehnhorn', 'Bon Appetit', 'VIIIb RP VIIIc', '565000000510', 1.2021713893545778]
['Lehnhorn', 'Westflanke', '* VIIc RP VIIIa', '4065', 'Lehnhorn', 'West-Flanke', '* VIIc RP VIIIa', '565000000310', 1.2001300817159304]
['Lehnhorn', 'Nordwand', '* VIIIa', '1075', 'Lehnhorn', 'Nord-Wand', '* VIIIa', '565000000340', 1.1946956382436527]
['Lehnhorn', 'Copa', 'IXa', '8872', 'Lehnhorn', 'Copa', '* IXa', '565000000200', 1.191695803839591]
['Lehnhorn', 'Boykott', 'IXb', '7622', 'Lehnhorn', 'Boykott', '* IXb', '565000000170', 1.191695803839591]
['Lehnhorn', 'Nordweg', 'IV', '12251', 'Lehnhorn', 'Nord-Weg', 'IV', '565000000420', 1.1909671606630376]
['Lehnhorn', 'Von Ring zu Ring', '* VIIIa', '615', 'Lehnhorn', 'Von Ring zu Ring', 'VIIIb', '565000000390', 1.1567301722346595]
['Lehnhorn', 'Direkte Südwestwand', 'VIIIc', '7503', 'Lehnhorn', 'Direkte Südwest-Wand', 'VIIIc RP IXa', '565000000240', 1.1463710859345098]
['Lehnhorn', 'Ein Tag am Meer', 'IXa', '7546', 'Lehnhorn', 'Ein Tag am Meer', '* IXb', '565000000190', 1.1228546073004297]
['Lehnhorn', 'Verlängerte AV zur Dir. SWW', 'VIIIc', '11210', 'Lehnhorn', 'Verlängerte AV', '* VIIIc', '565000000260', 1.0727340157544285]
['Lehnhorn', 'Westkante', 'VIIIc RP IXa', '7392', 'Lehnhorn', 'West-Kante', '* IXa RP IXb', '565000000330', 1.0610028385068608]
['Lehnhorn', 'Direkteinstieg Von Ring zu Ring', 'VIIIa', '10896', 'Lehnhorn', 'Ein Kessel Buntes', 'VIIIa', '565000000140', 0.918716092020872]
